condition,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
Static (f=0),0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,18.041,17.33036024409789,18.75163975590211,12.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,18.041,0.0
MTD (f=0.1),0.1,1000,528,0.528,0.4970108021953935,0.5587748993294154,528,False,89.17234848484848,84.64025483670382,93.70444213299315,84.5,79.5,91.5,800.408,773.8756212386901,826.94037876131,5.337923589914684,100.051,23.415,0.329,0.0,0.09307911483851682,23.744,141.483,48.92
