asp_target,port,port+decep,+endpoint,port+endp+decep,+shuffling,+diversity,+deception
0.75,288.8482878560719,514.3276166134185,319.2664172661871,421.0894084507042,551.154368,531.7530786516854,534.959606060606
0.5,480.48546926536727,928.7685111821087,546.8222725366877,797.1610295358649,908.3306588921283,848.4856648648649,1046.3653523809523
0.25,672.1226506746626,1600.2094264339153,799.3338029350106,1322.6818814229248,1346.114915451895,1331.0491836734695,1678.483304347826
0.1,,2029.0141645885287,1156.4428535031848,1823.4115256916996,1928.650409090909,1821.2116239316238,2488.364810126582
