decoy_ratio,n_decoys,deception_overhead_at_asp_0.25,cheapest_set,cheapest_overhead_at_asp_0.25,gap_at_asp_0.25
0.0,0,1331.0491836734695,port,672.1226506746626,658.9265329988069
0.25,2,1540.4461111111111,port,672.1226506746626,868.3234604364485
0.5,4,1678.483304347826,port,672.1226506746626,1006.3606536731635
1.0,8,2090.3831304347827,port,672.1226506746626,1418.2604797601202
